label,text
2,"Blair sees greater Bush consensus George W Bush will display a more consensual approach to world politics as he begins his second term as US President, Tony Blair has said. The prime minister said Mr Bush had learned military force was not the only way to fight terrorism. He understood that ""the best prospect of peaceful co-existence lies in the spread of democracy and human rights"", Mr Blair told the Guardian newspaper. Mr Bush was sworn in at a ceremony in Washington DC on Thursday. Echoing the new US Secretary of State Condoleezza Rice, the prime minister said there has been a clear evolution of US policy since the war in Afghanistan in 2001. Mr Blair had personally seen the change over time in conversations with Mr Bush. The president understood that while military and security measures were important, there also needed to be a multilateral approach to solving the"
0,"Ebbers denies WorldCom fraud Former WorldCom chief Bernie Ebbers has denied claims that he knew accountants were doctoring the books at the firm. Speaking in court, Mr Ebbers rejected allegations he pressured ex-chief financial officer Scott Sullivan to falsify company financial statements. Mr Sullivan ""made accounting decisions,"" he told the federal court, saying his finance chief had ""a keen command of the numbers"". Mr Ebbers has denied charges of fraud and conspiracy. During his second day of questioning in the New York trial Mr Ebbers played down his working relationship with Mr Sullivan and denied he frequently met him to discuss company business when questioned by the prosecution. ""In a lot of weeks, we would speak ... three or four times,"" Mr Ebbers said, adding that conversations about finances were rarely one-on-one and were usually discussed by a ""group of people"" instead. Mr Ebbers relationship to Mr Sullivan is key"
2,"MSPs hear renewed climate warning Climate change could be completely out of control within several decades, the Scottish Environment Protection Agency is warning a committee of MSPs. Experts are giving evidence on the subject to the Scottish Parliament's environment committee. Officials believe nuclear energy and wind farms may be better options than trying to tackle global warming. Solutions suggested by conservationists include reducing internal UK air travel and boosting electric trains. The evidence is part of the committee's inquiry into the impact of climate change in Scotland. Sepa is attempting to curb global warming gases, as pollution from transport emissions increases. Ecologists are warning MSPs that Scotland may have to accept ""significant intrusion"" from wind farms. It is likely also that nuclear power will be needed for possibly several decades. Sepa predict that the two methods will remain as energy sources until climate change is under control. Experts studying the"
0,"German bidder in talks with LSE Deutsche Boerse bosses have held ""constructive, professional and friendly"" talks with the London Stock Exchange (LSE), its chief has said. Werner Seifert met LSE chief executive Clara Furse amid rumours the German group may raise its bid to Â£1.5bn ($2.9bn) from its initial Â£1.3bn offer. However, rival suitor Euronext also upped the ante in the bid battle. Ahead of talks with the LSE on Friday, the pan-European bourse said it may be prepared to make its offer in cash. The Paris-based exchange, owner of Liffe in London, is reported to be ready to raise Â£1.4bn to fund a bid. The news came as Deutsche Boerse held its third meeting with the LSE since its bid approach in December which was turned down by the London exchange for undervaluing the business. However, the LSE did agree to leave the door open for talks to find"
2,"Kelly trails new discipline power Teachers could get more powers to remove unruly pupils from classes under a ""zero tolerance"" drive, Education Secretary Ruth Kelly has suggested. Ms Kelly told the BBC progress had been made against severely disruptive children but parents were still worried about lower level problems. The minister also confirmed she received ""spiritual support"" from the Catholic movement Opus Dei. But she denied her faith meant she would refuse key government jobs. The Conservatives have made school discipline one of their five priority areas in the run-up to the next general election. Ms Kelly is expected to announce her plans on the issue in the next fortnight. She told BBC One's Breakfast with Frost: ""It is really important to support head teachers and teachers in tackling disruption in the classroom. ""We have made huge progress on the really difficult cases, the pupils who have severely disruptive behaviour."
0,"Christmas shoppers flock to tills Shops all over the UK reported strong sales on the last Saturday before Christmas with some claiming record-breaking numbers of festive shoppers. A spokesman for Manchester's Trafford Centre said it was ""the biggest Christmas to date"" with sales up 5%. And the Regent Street Association said shops in central London were also expecting the ""best Christmas ever"". That picture comes despite reports of disappointing festive sales in the last couple of weeks. The Trafford Centre spokeswoman said about 8,500 thousand vehicles had arrived at the centre on Saturday before 1130 GMT. ""We predict that the next week will continue the same trend,"" she added. It was a similar story at Bluewater in Kent. Spokesman Alan Jones said he expected 150,000 shoppers to have visited by the end of Saturday and a further 100,000 on Sunday. ""Our sales so far have been 2% up on the"
0,"Yukos bankruptcy 'not US matter' Russian authorities do not have to abide by any US court decisions taken with regard to troubled oil giant Yukos, a Houston court has been told. Legal expert William Butler said there was no treaty between the US and Russia to recognise the other's legal rulings. That meant Moscow would not have to adhere to US rulings in the Yukos case. Yukos says a US court was entitled to declare it bankrupt before its Yugansk unit was sold, since it has a US subsidiary and local bank accounts. Yukos made its surprise Chapter 11 bankruptcy filing in Houston in December in an unsuccessful attempt to halt the auction of Yugansk, its main oil producing unit, by Russian authorities. Yugansk was sold to help pay off a $27.5bn (Â£14.5bn) back tax bill. It was bought for $9.4bn by a previously unknown group, which was in turn"
3,"Bellamy fined after row Newcastle have fined their Welsh striker Craig Bellamy two weeks' wages - about Â£80,000 - following his row with manager Graeme Souness. But Bellamy, 25, has not been put on the transfer list, although he did not train with the first team on Tuesday. Magpies chairman Freddy Shepherd told the Newcastle Evening Chronicle: ""It is not about money. It is about a player thinking he is bigger than this club. ""No individual is, be it the chairman, the manager or a player."" Souness dropped Bellamy for Sunday's game against Arsenal, claiming the Welshman had feigned injury after being asked to play out of position. ""When I heard what the manager was saying I was in shock,"" Bellamy said. ""I thought 'not only has he gone behind my back, he's lying',"" he said in response to Souness' remarks. And the Wales international refused to apologise. ""I won't"
0,"China suspends 26 power projects China has ordered a halt to construction work on 26 big power stations, including two at the Three Gorges Dam, on environmental grounds. The move is a surprising one because China is struggling to increase energy supplies for its booming economy. Last year 24 provinces suffered black outs. The State Environmental Protection Agency said the 26 projects had failed to do proper environmental assessments. Topping the list was a controversial dam on the scenic upper Yangtze River. ""Construction of these projects has started without approval of the assessment of their environmental impact... they are typical illegal projects of construction first, approval next,"" said SEPA vice-director Pan Yue, in a statement on the agency's website. Some of the projects may be allowed to start work again with the proper permits, but others would be cancelled, he said. Altogether, the agency ordered 30 projects halted. Other projects"
1,"Moving mobile improves golf swing A mobile phone that recognises and responds to movements has been launched in Japan. The motion-sensitive phone - officially titled the V603SH - was developed by Sharp and launched by Vodafone's Japanese division. Devised mainly for mobile gaming, users can also access other phone functions using a pre-set pattern of arm movements. The phone will allow golf fans to improve their swing via a golfing game. Those who prefer shoot-'em-ups will be able to use the phone like a gun to shoot the zombies in the mobile version of Sega's House of the Dead. The phone comes with a tiny motion-control sensor, a computer chip that responds to movement. Other features include a display screen that allows users to watch TV and can rotate 180 degrees. It also doubles up as an electronic musical instrument. Users have to select a sound from a menu that"
0,"Car giant hit by Mercedes slump A slump in profitability at luxury car maker Mercedes has prompted a big drop in profits at parent DaimlerChrysler. The German-US carmaker saw fourth quarter operating profits fall to 785m euros ($1bn) from 2.4bn euros in 2003. Mercedes-Benz's woes - its profits slid to just 20m euros - obscured a strong performance from the Chrysler group whose returns met market expectations. Mercedes faces fierce competition in the luxury car sector from BMW and but hopes to revive its fortunes by 2006. Mercedes' profits over the period compared unfavourably with 2003's 784m euro figure and were well below analyst expectations of 374m euros. For the year as a whole, its operating profits fell 46% to 1.6bn euros. Sales of Mercedes' brands fell 2% as demand cooled, while revenues were affected by the weakness of the US dollar. The carmaker blamed the fall in profits on"
3,"O'Sullivan commits to Dublin race Sonia O'Sullivan will seek to regain her title at the Bupa Great Ireland Run on 9 April in Dublin. The 35-year-old was beaten into fourth at last year's event, having won it a year earlier. ""I understand she's had a solid winter's training down in Australia after recovering from a minor injury,"" said race director Matthew Turnbull. Mark Carroll, Irish record holder at 3km, 5km and 10km, will make his debut in the mass participation 10km race. Carroll has stepped up his form in recent weeks and in late January scored an impressive 3,000m victory over leading American Alan Webb in Boston. Carroll will be facing stiff competition from Australian Craig Mottram, winner in Dublin for the last two years."
1,"Security scares spark browser fix Microsoft is working on a new version of its Internet Explorer web browser. The revamp has been prompted by Microsoft's growing concern with security as well as increased competition from rival browsers. Microsoft said the new version will be far less vulnerable to the bugs that make its current browser a favourite of tech-savvy criminals. Test versions of the new program, called IE 7, are due to be released by the summer. The announcement about Internet Explorer was made by Bill Gates, Microsoft chairman and chief software architect, during a keynote speech at the RSA Security conference currently being held in San Francisco. Although details were scant, Mr Gates, said IE7 would include new protections against viruses, spyware and phishing scams. This last category of threats involves criminals setting up spoof websites that look identical to those of banks and try to trick people into"
4,"Snow Patrol bassist exits group Snow Patrol had ""no other course of action"" but to ask their co-founder and bassist to leave the band, lead singer Gary Lightbody has said. Mark McClelland had been in the band for more than 10 years since its formation at Dundee University. Lightbody said ""over the last 18 months touring has taken its toll on the rest of the band's relationship with him"". He said: ""This is the hardest decision we have ever had to make and believe us when we say we didn't make it lightly."" The group, originally from Northern Ireland, has only achieved mainstream success in the last year with the single Run and award-winning album Final Straw. In a statement on the band's website, Lightbody said: ""I started the group with Mark 10 years ago and he was a massive part of Snow Patrol and my life throughout that decade."""
4,"Media seek Jackson 'juror' notes Reporters covering singer Michael Jackson's trial in California have asked to see questionnaires completed by potential jurors. Lawyers for news organisations said it was ""really vital"" for the responses of 250 potential jurors to be made public ""to serve as a check on the process"". Santa Barbara County Superior Court is due to consider the request on Monday. Mr Jackson denies child molestation. It is estimated his trial will cost Santa Barbara county up to $4m (Â£2.13m). Meanwhile Michael Jackson's mother has said she is ""100% certain"" her son did not commit the child abuse charges he faces. The court is currently selecting 12 jurors and eight stand-by jurors for the trial, a process delayed until at least Thursday after a member of the star's legal team was hit by family illness. Defence lawyers argued against the bid by Associated Press and other news organisations"
1,"Mobile games come of age The BBC News website takes a look at how games on mobile phones are maturing. A brief round-up follows but you can skip straight to the reviews by clicking on the links below. Part two will follow on Monday. Reviews of Call of Duty, Splinter Cell - Pandora Tomorrow, Lord of the Rings and Pocket Kingdom will follow on Monday If you think of Snake when some mentions ""mobile games"" then you could be in for a bit of a surprise. This is because mobile games have come a long way in a very short time. Even before Nokia's N-Gage game phone launched in late 2003, many mobile operators were realising that there was an audience looking for something to play on their handset. And given that many more people own handsets than own portable game playing gadgets such as the GameBoy it could be"
0,"Nortel in $300m profit revision Telecoms equipment maker Nortel Networks has sharply revised downwards its profits for the 2003 fiscal year. In a long-awaited filing, Nortel said it had made $434m (Â£231m), compared to the previously reported $732m. But the figures - revised after an audit which led to the sacking of the Canadian firm's chief - showed revenue was about 4% higher than first thought. Nortel shares, which have lost nearly 50% of their value since last year, climbed 1.46% in Toronto on Tuesday. Nortel's head Frank Dunn and two other executives were fired in January last year after the company announced it had conducted the internal audit. Securities and police authorities in both the US and Canada are still conducting inquiries into the accounts. Nortel also issued new figures for the 2001-2002 period, which they had previously indicated had understated losses. ""With the completion of our restatements we"
0,"Yukos loses US bankruptcy battle A judge has dismissed an attempt by Russian oil giant Yukos to gain bankruptcy protection in the US. Yukos filed for Chapter 11 protection in Houston in an unsuccessful attempt to halt the auction of its Yugansk division by the Russian authorities. The court ruling is a blow to efforts to get damages for the sale of Yugansk, which Yukos claims was illegally sold. Separately, former Yukos boss Mikhail Khodorkovsky began testimony on Friday in his trial for fraud and tax evasion. Mr Khodorkovsky - who has been in jail for more than a year - pleaded not guilty to the charges brought against him and denied involvement in any criminal activities. ""I pride myself on heading for 15 years a number of successful companies and helping other enterprises rise from their knees,"" he told a Russian court. Yugansk was auctioned to help pay off"
4,"Sir Paul rocks Super Bowl crowds Sir Paul McCartney wowed fans with a live mini-concert at American football's Super Bowl - and avoided any Janet Jackson-style controversies. The 62-year-old sang Hey Jude and other Beatles songs in a 12-minute set at half-time during the game in Florida. Last year, Jackson exposed a breast during a dance routine, causing outrage among millions of TV viewers and landing the CBS TV network a fine. Sir Paul, however, did nothing more racy than remove his jacket as he sang. Organisers were widely considered to be playing it safe this year by booking 62-year-old Sir Paul for his second Super Bowl show. Three years ago, he was invited to perform at the first Super Bowl after the September 11 attacks and performed his specially-written song Freedom. This time, he started off the show, at the Alltel Stadium in Jacksonville, Florida, with the Beatles numbers"
2,"Parties warned over 'grey vote' Political parties cannot afford to take older UK voters for granted in the coming election, says Age Concern. A survey for the charity suggests 69% of over-55s say they always vote in a general election compared with just 17% of 18 to 24 year olds. Charity boss Gordon Lishman said if a ""decisive blow"" was struck at the election it would be by older voters who could be relied on to turn out. A total of 3,028 adults aged 18 or over were interviewed for the study. Mr Lishman urged the next government to boost state pension. He also called for measures to combat ageism and build effective public services to ""support us all in an ageing society"". ""Older people want to see manifesto commitments that will make a difference to their lives,"" Mr Lishman said. ""Political parties must wake up to the fact that"
2,"Blair backs 'pre-election budget' Tony Blair has backed Chancellor Gordon Brown's pre-Budget report amid opposition claims he was too bullish about the state of the UK economy. In a speech in Edinburgh, the prime minister said Thursday's report reinforced stability and opportunity. And that would be central to Labour's next election campaign, planning for which was already well advanced. Mr Brown earlier denied his economic forecasts were too optimistic - but refused to rule out future tax rises. He told BBC Radio 4's Today programme: ""No politician should make the mistake that John Major and his colleagues made in 1992 of saying no matter what the circumstances are, they can make all sorts of guarantees on every individual thing. ""That is not what politicians should do, it would not be responsible to do."" Mr Brown insisted his spending plans were ""affordable"" and he could afford to be optimistic because Britain"
0,"Mixed signals from French economy The French economy picked up speed at the end of 2004, official figures show - but still looks set to have fallen short of the government's hopes. According to state statistics body INSEE, growth for the three months to December was a seasonally-adjusted 0.7-0.8%, ahead of the 0.6% forecast. If confirmed, that would be the best quarterly showing since early 2002. It leaves GDP up 2.3% for the full year, but short of the 2.5% which the French government had predicted. Despite the apparent shortfall in annual economic growth, the good quarterly figures - a so-called ""flash estimate"" - mark a continuing trend of improving indicators for the health of the French economy. The government is reiterating a 2.5% target for 2005, while the European Central Bank is making positive noises for the 12-nation eurozone as a whole. Also on Friday, France's industrial output for"
4,"Pixies take on Reading and Leeds Pixies, Foo Fighters and Iron Maiden will headline this summer's Leeds and Reading festivals. The trio of rock heavyweights will top the bill for the three-day events at Bramham Park, near Wetherby, and at Richfield Avenue, Reading. They are the Pixies' and Iron Maiden's only UK festival gigs, while Foo Fighters are also at T In The Park. The Killers, Razorlight and Queens of the Stone Age are also playing the twin festivals, to be held on 26-28 August. Other acts in this year's line-up include The Charlatans, Marilyn Manson and Kings of Leon. Pete Doherty's band Babyshamblers will appear on the NME/Radio One stage along with Kasabian, Black Rebel Motorcycle Club and Bloc Party. Organiser Mean Fiddler said more acts were still to be confirmed for the summer event. ""We are all very excited to be going back to Reading and intend to"
0,"Millions 'to lose textile jobs' Millions of the world's poorest textile trade workers will lose their jobs under new trade rules to be introduced in the new year, a charity has warned. The World Trade Organisation (WTO) is to end its Multi-Fibre Agreement (MFA) on midnight of 31 December. Christian Aid condemned the move, saying it would see almost a million jobs in Bangladesh alone being axed. However, supporters of the change claim it will mean increased efficiency and lower costs for Western consumers. It will also see more jobs created in India and China, advocates argue. The WTO said that many developing countries support the end of quotas and stressed that funding was available to countries such as Bangladesh to help them make the transition to a fully liberalised market. ""There will be a period of adjustment required,"" said WTO spokesman Keith Rockwell. ""Some countries will do better than"
3,"Wilkinson fit to face Edinburgh England captain Jonny Wilkinson will make his long-awaited return from injury against Edinburgh on Saturday. Wilkinson, who has not played since injuring his bicep on 17 October, took part in full-contact training with Newcastle Falcons on Wednesday. And the 25-year-old fly-half will start Saturday's Heineken Cup match at Murrayfield on the bench. But Newcastle director of rugby Rob Andrew said: ""He's fine and we hope to get him into the game at some stage."" The 25-year-old missed England's autumn internationals after aggravating the haematoma in his upper right arm against Saracens. He was subsequently replaced as England captain by full-back Jason Robinson. Sale's Charlie Hodgson took over the number 10 shirt in the internationals against Canada, South Africa and Australia. Wilkinson's year has been disrupted by injury as his muscle problem followed eight months on the sidelines with a shoulder injury sustained in the World"
1,"Court mulls file-sharing future Judges at the US Supreme Court have been hearing evidence for and against file-sharing networks. The court will decide whether producers of file-sharing software can ultimately be held responsible for copyright infringement. They questioned if opening the way for the entertainment industry to sue file-sharers could deter innovation. They also said that file-trading firms had some responsibility for inducing people to piracy. The lawsuit, brought by 28 of the world's largest entertainment firms, has raged for several years. Legal experts agree that if the Supreme Court finds in favour of the music and movie industry they would be able to sue file-trading firms into bankruptcy. But if the judge rules that Grokster and Morpheus - the file-sharers at the centre of the case - are merely providers of technology that can have legitimate as well as illegitimate uses, then the music and movie industry would be"
0,"Jobs growth still slow in the US The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years. According to Labor Department figures, US firms added only 146,000 jobs in January. The gain in non-farm payrolls was below market expectations of 190,000 new jobs. Nevertheless it was enough to push down the unemployment rate to 5.2%, its lowest level since September 2001. The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office. He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover. As a result, job creation became a key issue in last year's election. However, when adding December and"
2,"Labour's Cunningham to stand down Veteran Labour MP and former Cabinet minister Jack Cunningham has said he will stand down at the next election. One of the few Blair-era ministers to serve under Jim Callaghan, he was given the agriculture portfolio when Labour regained power in 1997. Mr Cunningham went on to become Tony Blair's ""cabinet enforcer"". He has represented the constituency now known as Copeland since 1970. Mr Blair said he was a ""huge figure"" in Labour and a ""valued, personal friend"". During Labour's long period in opposition, Mr Cunningham held a number of shadow roles including foreign affairs, the environment and as trade spokesman. As agriculture minister he caused controversy when he decided to ban beef on the bone in the wake of fears over BSE. He quit the government in 1999 and in recent years has served as the chairman of the all-party committee on Lords reform"
1,"Yahoo celebrates a decade online Yahoo, one of the net's most iconic companies, is celebrating its 10th anniversary this week. The web portal has undergone remarkable change since it was set up by Stanford University students David Filo and Jerry Yang in a campus trailer. The students wanted a way of keeping track of their web-based interests. The categories lists they devised soon became popular to hundreds of people and the two saw business potential in their idea. Originally dubbed ""Jerry's Guide to the World Wide Web"" the firm adopted the moniker Yahoo because the founders liked the dictionary definition of a yahoo as a rude, unsophisticated, uncouth person. The term was popularised by the 18th Century satirist Jonathan Swift in his classic novel, Gulliver's Travels. ""We were certainly not sophisticated or civilised,"" Mr Yang told reporters ahead of the anniversary, which will be officially recognised on 2 March. They"
0,"Europe blames US over weak dollar European leaders have openly blamed the US for the sharp rise in the value of the euro. US officials were talking up the dollar, they said, but failing to take action to back up their words. Meeting in Brussels, finance ministers of the 12 eurozone countries voiced their concern that the rise of the european currency was harming exports. The dollar is within touching distance of an all-time low reached earlier in November. At 0619 GMT on Tuesday, the dollar was up slightly at just above $1.29 to the euro, and buying 105.6 yen in Tokyo. It rallied briefly on Monday amid signs that oil prices are easing. But analysts said the respite was likely to be only temporary. The European ministers' comments, said Junya Tanase of JPMorgan Chase bank in Tokyo, were ""generally too weak to produce a market reaction"". Still, by the"
2,"Woolf murder sentence rethink Plans to give murderers lighter sentences if they plead guilty have been watered down. There was an outcry three months ago when the Sentencing Guidelines Council - led by Lord Woolf - published its proposals for England and Wales. It had suggested judges should reduce sentences by a third for murderers who confessed at the earliest opportunity. But that has now been changed to one-sixth, with no reduction for those killers given a ""whole life tariff"". At the time Lord Woolf, the Lord Chief Justice, had said the one third reduction would only be in extraordinary circumstances - for example, if people gave themselves up before their crime had even been detected. The guidelines were to recognise the need to spare victims and witnesses the trauma of going to court where possible, by allowing lighter sentences for guilty pleas and co-operation, he said. But director of"
4,"Russian film wins BBC world prize Russian drama The Return (Vozvrashchenie) has been named winner of the BBC Four World Cinema Award. The film tells the story of two adolescent boys who are subjected to a harsh regime when their strict father returns after a 10-year absence. Directed by Andrey Zvyagintsev, The Return previously won the 2003 Golden Lion award at the Venice Film Festival. The prize was presented at an awards ceremony held in London on Thursday and hosted by Jonathan Ross. The winner was chosen by a panel which included X Files actress Gillian Anderson, critic Roger Clarke and Touching the Void director Kevin McDonald. Ross, who is the presenter of BBC One's Film 2005, was also involved in the deliberations. A shortlist of six films from around the world had been drawn up from which the panel chose. Other nominees included the Motorcycle Diaries, Zatoichi and Hero."
2,"UK needs tax cuts, Tories insist A major change of direction is needed in Britain if it is to prosper, the shadow chancellor said as the Tory Party spring conference began. Oliver Letwin said the UK could not compete with other countries without the Â£4bn tax cuts he was promising. Tory co-chairman Liam Fox had opened the forum in Brighton with an attack on Labour's record and party leader Michael Howard is due to speak later. Tony Blair has said Conservative policies would cause economic failure. But Mr Letwin said Britain had fallen from fourth to 11th in the international economic competitiveness league. ""Can this country compete, can this country prosper, unless we do something about the burden of regulation and tax on our economy?"" he said. ""If we are going to take on the great challenges, the challenges like those posed by the Chinese and the Indians, we have"
1,"BBC web search aids odd queries The BBC's online search engine was used a record amount in 2004, helping with enquires both simple and strange. More than 277 million enquiries were made, asking for informaton of a wide range of subjects. The most requested search terms of 2004 included games, EastEnders, CBBC, John Peel, Harry Potter and Olympics. But there were many strange enquiries, including: what is a dog?, how do you say basketball? and what is the biggest collection of naval fluff? The search engine works by matching key words typed in to different web pages but many people still type in natural language questions. Here are some of the strangest queries of 2004 - spelling and grammar errors left untouched - and their possible solutions: - How to fold a serviette like an elf's boot? - How do I structure a French letter? - What is better one"
3,"Safin plays down Wimbledon hopes Newly-crowned Australian Open champion Marat Safin has ruled out any chance of winning Wimbledon in the future. After losing in round one last year, Safin said he had ""given up"" on Wimbledon and winning his second Grand Slam title has not changed his mind. ""I'll play, but with no expectations. I feel like I can't waste my time, my energy on that surface,"" he said. ""Some people, they cannot play on clay. Some people, they cannot play on a hard court. Me, I can't play on grass."" However, Safin is hopeful that winning the Australian Open will give him the belief he needs to win more Grand Slam titles. ""It's a relief for me. Two grand slams, it's already something. But with this one I worked really hard for it,"" he said. ""Basically, I would love to win a couple more. I think I have"
3,"Mourinho defiant on Chelsea form Chelsea boss Jose Mourinho has insisted that Sir Alex Ferguson and Arsene Wenger would swap places with him. Mourinho's side were knocked out of the FA Cup by Newcastle last Sunday before seeing Barcelona secure a 2-1 Champions League first-leg lead in the Nou Camp. But he denied his club was suffering a dip in form which league rivals Arsenal and Manchester United could exploit. ""They cannot speak to us about blips because they're not in a better position than us,"" Mourinho said. ""Do they want to change positions with us? We are top of the league by nine points and in the Carling Cup final. ""The only thing they can say they are in a better position than us in is the FA Cup. ""In the Champions League all three teams can either go through or go out but the one team that is"
